id,split,eruption,sample_id,crystal_id,crystal_number,rim_core,source,pair_mine_id,pair_liq_id,pair_row_idx_mine,pair_row_idx_liq,liq_is_synthetic,liq_mix_f,liq_endmember1_idx,liq_endmember2_idx,kd_value,kd_error,if_pass_test,SiO2_cpx,SiO2_liq,TiO2_cpx,TiO2_liq,Al2O3_cpx,Al2O3_liq,Cr2O3_cpx,FeO_cpx,FeO_liq,MnO_cpx,MnO_liq,MgO_cpx,MgO_liq,NiO_cpx,CaO_cpx,CaO_liq,Na2O_cpx,Na2O_liq,K2O_cpx,K2O_liq
merapi_2006_0001,merapi_kd028_pass,2006,2006px2 Line 001 ,2006px2,1,rim,"Costa et al., 2013",0,9581,0,9581,True,0.9658405376432017,4.0,5.0,0.2799974498225476,2.55017745243169e-06,True,50.74292206045024,52.47539143682827,0.6756554755000151,0.8531593850580984,3.41913559946984,18.39670977788377,0.0,9.25687863114991,8.459664725024174,0.6288180015346747,0.2059008645171842,14.74682850508735,3.773473351430419,0.0,20.01454951318923,9.289542091580143,0.4275165176836378,3.227156772573655,0.03089280197713933,2.102598310398549
merapi_2006_0002,merapi_kd028_pass,2006,2006px2 Line 002 ,2006px2,1,rim,"Costa et al., 2013",1,4919,1,4919,True,0.8240018514363057,4.0,4.0,0.2799870689065713,1.293109342870302e-05,True,49.95889724310778,55.32033149337893,0.9323308270676691,0.8004807313173407,4.41704260651629,17.68714486652847,0.0,8.972431077694235,7.617212892427868,0.4601503759398496,0.1925761832921943,13.69523809523809,3.255318781811188,0.0,21.11779448621554,8.010624509257537,0.4110275689223057,3.305070894692526,0.02305764411027569,2.676072677569411
merapi_2006_0003,merapi_kd028_pass,2006,2006px2 Line 003 ,2006px2,1,rim,"Costa et al., 2013",2,13958,2,13958,True,0.6585211299487123,4.0,1.0,0.2800157045766593,1.570457665922564e-05,True,49.06992887395499,58.26741240487385,1.013068278991157,0.7019923959347665,5.125702960734801,16.9772955778768,0.0,9.046186658081911,6.541632102387472,0.4124706994899448,0.1662907046334352,13.03910423436384,2.640284448380799,0.0,21.8619530990634,6.571571154848154,0.3963742819488738,3.381325279997234,0.02213257411897264,3.394064000882382
merapi_2006_0004,merapi_kd028_pass,2006,2006px2 Line 004 ,2006px2,1,rim,"Costa et al., 2013",3,16902,3,16902,True,0.6395316698515748,6.0,3.0,0.2799995963332798,4.036667202722555e-07,True,48.04297774366846,58.4291748486249,1.000727067092136,0.678870656423654,6.222482530193481,17.77116069859637,0.0,9.638688047824857,5.57588540411176,0.3302096376782324,0.159267078693228,12.31772831926324,1.995188537388027,0.0,22.04023104576483,6.360020299309444,0.3837298541826554,3.662432928994528,0.01312760027466979,3.175360921358079
merapi_2006_0005,merapi_kd028_pass,2006,2006px2 Line 005 ,2006px2,1,rim,"Costa et al., 2013",4,11378,4,11378,True,0.8696088748523045,6.0,3.0,0.2800001900063491,1.900063490989368e-07,True,49.06465310046467,54.23624786469161,0.8251882711103989,0.7817151670589801,5.260575228328793,18.75336028674448,0.0,9.389520910110559,6.887165338881239,0.3645249158788656,0.1852658028583104,12.89957538855953,2.649298031205102,0.0,21.78537093414517,8.236529983295396,0.3925652940233937,3.469398153998916,0.01502163114885435,2.310270630555335
merapi_2006_0006,merapi_kd028_pass,2006,2006px2 Line 011 ,2006px2,1,core,"Costa et al., 2013",10,4745,10,4745,True,0.8251604867115327,4.0,6.0,0.2799668715475006,3.31284524994202e-05,True,50.56998860022799,55.1261427999993,0.7239855202895942,0.819471380659633,3.437931241375173,17.76839908011544,0.0,9.182816343673126,7.530515689636495,0.5459890802183957,0.1816759988472683,14.19571608567829,3.259213183797768,0.0,20.92558148837023,8.0503290982392,0.4139917201655967,3.323087017355081,0.003999920001599968,2.676385781427965
merapi_2006_0007,merapi_kd028_pass,2006,2006px2 Line 012 ,2006px2,1,core,"Costa et al., 2013",11,3134,11,3134,True,0.9591114274329677,4.0,2.0,0.2799997359248839,2.640751161631094e-07,True,50.59711695048152,52.6257788873143,0.6745209996180062,0.8529085766669805,3.441967068095458,18.35360669794582,0.0,8.962785741571002,8.421421161943481,0.4272301413377833,0.2055431455901935,14.24737127807153,3.74830339577631,0.0,21.31124469732001,9.224064975803984,0.3297211443736304,3.226250463588035,0.007036731739681137,2.131941935659092
merapi_2006_0008,merapi_kd028_pass,2006,2006px3 Line 023 ,2006px3,2,rim,"Costa et al., 2013",35,5834,35,5834,True,0.7022127964011297,4.0,2.0,0.2799684670032443,3.153299675573429e-05,True,49.12140014634977,57.49991661388137,0.7828710618377924,0.7455249488956721,4.831547398281894,17.24534600367447,0.0,9.00251601327172,6.777508839066577,0.3588576698308958,0.1775411948077231,13.26169545213059,2.795209474648191,0.0,22.25719469532182,6.987762392671834,0.3678792313629575,3.391179384710475,0.0,3.086577248573402
merapi_2006_0009,merapi_kd028_pass,2006,2006px3 Line 024 ,2006px3,2,rim,"Costa et al., 2013",36,17798,36,17798,True,0.6432630158673487,4.0,2.0,0.2800009358429474,9.358429474137786e-07,True,49.40714629065855,58.61837079994879,0.7200368530684185,0.7208839406325518,4.761857074186829,16.99103665045174,0.0,9.092092613363244,6.400285066946275,0.2603749399134754,0.171115668729541,13.07182342573306,2.576505788867864,0.0,22.26606313090851,6.47460455312527,0.4196042300913315,3.429025143813162,0.00100144207659029,3.305634633036932
merapi_2006_0010,merapi_kd028_pass,2006,2006px3 Line 025 ,2006px3,2,rim,"Costa et al., 2013",37,3428,37,3428,True,0.776044156830853,4.0,4.0,0.2800156792466391,1.56792466390332e-05,True,49.32527836049701,56.26596131560925,0.7957479425528482,0.781537441948187,4.755325157334194,17.45747546706296,0.0,8.81172341455543,7.326777736858625,0.300548652573826,0.1878283715262545,13.22716637082459,3.079649746471415,0.0,22.39188316927546,7.582985746460717,0.3761900919799903,3.333701638371981,0.01109407777957076,2.865745359733976
